5.5.2015,44:14,93.4
12.5.2015,44:14,93.0
19.5.2015,43:32,91.9
26.5.2015,44:07,92.0
2.6.2015,44:35,92.9
9.6.2015,42:48,93.1
16.6.2015,43:18,91.0
30.6.2015,43:0,92.5
7.7.2015,45:0,89.7
25.7.2015,45:0,90.0
28.7.2015,45:48,89.1
4.8.2015,44:49,89.1
11.8.2015,44:0,89.2
18.8.2015,43:06,89.1
25.8.2015,40:20,88.9
3.9.2015,45:0,90.5
7.9.2015,42:30,90.9
14.9.2015,45:40,90.9
22.9.2015,46:10,90.9
28.9.2015,42:35,89.4
5.10.2015,43:30,89.0
12.10.2015,43:05,89.0
19.10.2015,42:20,89.3
26.10.2015,42:30,89.4
2.11.2015,42:47,89.3
10.11.2015,43:36,88.9
17.11.2015,44:05,89.8
23.11.2015,42:20,89.3
30.11.2015,42:22,89.8
7.12.2015,41:47,89.5
14.12.2015,42:23,89.5
21.12.2015,41:46,88.4
28.12.2015,43:31,87.9
4.1.2016,42:0,89.0
11.1.2016,42:47,88.5
18.1.2016,41:17,88.8
25.1.2016,41:23,88.9
1.2.2016,42:04,89.0
8.2.2016,42:50,90.2
15.2.2016,40:41,89.8
22.2.2016,44:37,89.3
3.3.2016,42:03,89.8
7.3.2016,42:45,89.9
14.3.2016,42:40,90.3
21.3.2016,41:06,89.9
30.3.2016,42:52,89.1
4.4.2016,43:27,89.9
12.4.2016,43:31,89.1
18.4.2016,44:20,89.6
25.4.2016,43:16,88.5
2.5.2016,43:34,89.8
9.5.2016,44:29,87.7
16.5.2016,42:57,87.8
24.5.2016,42:23,87.9
30.10.2016,43:10,88.1
6.6.2016,41:12,87.9
6.6.2016,41:12,87.9
13.6.2016,42:29,88.5
21.6.2016,42:52,88.8
27.6.2016,44:57,88.9
1.8.2016,43:34,87.7
2.7.2016,46:20,88.0
24.7.2016,45:33,89.0
8.8.2016,43:47,87.4
14.8.2016,45:42,89.0
22.8.2016,43:43,88.4
29.8.2016,43:49,88.8
5.9.2016,42:38,88.8
19.9.2016,43:53,89.3
26.9.2016,44:29,88.4
3.10.2016,42:52,88.0
10.10.2016,43:13,87.6
17.10.2016,43:30,88.2
24.10.2016,43:47,88.5
31.10.2016,43:48,88.1
7.11.2016,43:04,88.4
14.11.2016,42:13,88.8
28.11.2016,44:42,89.3
5.12.2016,42:21,89.5
12.12.2016,42:12,90.2
19.12.2016,41:14,89.7
27.12.2016,43:50,90.8
2.1.2017,42:16,90.7
9.1.2017,43:32,91.2
16.1.2017,42:50,90.5
23.1.2017,42:27,90.9
30.1.2017,42:17,92.0
6.2.2017,42:37,91.0
13.2.2017,42:24,91.0
20.2.2017,43:33,91.1
27.1.2017,42:43,91.1
6.3.2017,42:08,91.1
13.3.2017,42:35,91.8
20.3.2017,43:12,92.1
27.3.2017,42:21,91.7
3.4.2017,42:25,91.1
10.4.2017,43:0,91.6
18.4.2017,44:12,91.9
24.4.2017,42:22,91.2
2.5.2017,42:51,92.8
8.5.2017,42:40,92.0
15.5.2017,43:02,92.2
